date,home_team,away_team,home_goals,away_goals,outcome,match_type,tournament_name,neutral_venue,home_elo_before,away_elo_before
2018-01-02,Iraq,United Arab Emirates,0.0,0.0,D,Tournament,Gulf Cup,True,1500.0,1500.0
2018-01-02,Oman,Bahrain,1.0,0.0,H,Tournament,Gulf Cup,True,1500.0,1500.0
2018-01-05,Oman,United Arab Emirates,0.0,0.0,D,Tournament,Gulf Cup,True,1516.0,1500.0
2018-01-07,Estonia,Sweden,1.0,1.0,D,Friendly,Friendly,True,1500.0,1500.0
2018-01-11,Denmark,Sweden,0.0,1.0,A,Friendly,Friendly,True,1500.0,1500.0
2018-01-11,Indonesia,Iceland,0.0,6.0,A,Friendly,Friendly,False,1500.0,1500.0
2018-01-11,Jordan,Finland,1.0,2.0,A,Friendly,Friendly,True,1500.0,1500.0
2018-01-14,Indonesia,Iceland,1.0,4.0,A,Friendly,Friendly,False,1482.5902320053615,1517.4097679946385
2018-01-27,Moldova,South Korea,0.0,1.0,A,Friendly,Friendly,True,1500.0,1500.0
2018-01-28,USA,Bosnia and Herzegovina,0.0,0.0,D,Friendly,Friendly,False,1500.0,1500.0
2018-01-28,Yorkshire,Ellan Vannin,1.0,1.0,D,Friendly,Friendly,False,1500.0,1500.0
2018-01-30,Azerbaijan,Moldova,0.0,0.0,D,Friendly,Friendly,True,1500.0,1493.6
2018-01-30,Jamaica,South Korea,2.0,2.0,D,Friendly,Friendly,True,1500.0,1506.4
2018-01-31,Mexico,Bosnia and Herzegovina,1.0,0.0,H,Friendly,Friendly,True,1500.0,1501.792831997477
2018-02-03,Latvia,South Korea,0.0,1.0,A,Friendly,Friendly,True,1500.0,1506.2821209758988
2018-02-26,Saudi Arabia,Moldova,3.0,0.0,H,Friendly,Friendly,False,1500.0,1493.7178790241012
2018-02-28,Iraq,Saudi Arabia,4.0,1.0,H,Friendly,Friendly,False,1500.0,1507.8768846343048
2018-03-17,Iran,Sierra Leone,4.0,0.0,H,Friendly,Friendly,False,1500.0,1500.0
2018-03-21,Andorra,Liechtenstein,1.0,0.0,H,Friendly,Friendly,True,1500.0,1500.0
2018-03-21,Tahiti,New Caledonia,0.0,0.0,D,Friendly,Friendly,False,1500.0,1500.0
2018-03-21,South Africa,Angola,1.0,1.0,D,Friendly,Friendly,True,1500.0,1500.0
2018-03-21,Madagascar,Togo,0.0,0.0,D,Friendly,Friendly,True,1500.0,1500.0
2018-03-21,Zambia,Zimbabwe,2.0,2.0,D,Friendly,Friendly,False,1500.0,1500.0
2018-03-21,Jordan,Kuwait,1.0,0.0,H,Friendly,Friendly,False,1493.6,1500.0
2018-03-21,Iraq,Qatar,2.0,3.0,A,Friendly,Friendly,False,1508.2979938825672,1500.0
2018-03-21,Antigua and Barbuda,Bermuda,3.0,2.0,H,Friendly,Friendly,False,1500.0,1500.0
2018-03-21,Laos,Cambodia,0.0,1.0,A,Friendly,Friendly,False,1500.0,1500.0
2018-03-22,Macau,Mauritius,0.0,1.0,A,Friendly,Friendly,False,1500.0,1500.0
