player_name,team_name,position,position_detail,age,caps,club_name,club_league,club_league_tier,market_value_eur,injured,suspended,jersey_number,transfermarkt_player_id,transfermarkt_player_url,transfermarkt_team_url,team_confederation,team_fifa_ranking,team_market_value_eur
Raúl Rangel,Mexico,GK,Goalkeeper,26,11,Deportivo Guadalajara,Liga MX Apertura,1,6000000,False,False,12,802855,https://www.transfermarkt.com/raul-rangel/profil/spieler/802855,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Carlos Acevedo,Mexico,GK,Goalkeeper,30,6,Santos Laguna,Liga MX Apertura,1,3000000,False,False,0,356042,https://www.transfermarkt.com/carlos-acevedo/profil/spieler/356042,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Guillermo Ochoa,Mexico,GK,Goalkeeper,40,152,AEL Limassol,Cyprus League,1,300000,False,False,0,29559,https://www.transfermarkt.com/guillermo-ochoa/profil/spieler/29559,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Johan Vásquez,Mexico,DEF,Centre-Back,27,44,Genoa CFC,Serie A,1,13000000,False,False,0,532937,https://www.transfermarkt.com/johan-vasquez/profil/spieler/532937,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
César Montes,Mexico,DEF,Centre-Back,29,66,Lokomotiv Moscow,Premier Liga,1,7000000,False,False,0,387687,https://www.transfermarkt.com/cesar-montes/profil/spieler/387687,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Israel Reyes,Mexico,DEF,Centre-Back,25,31,CF América,Liga MX Apertura,1,5000000,False,False,15,687558,https://www.transfermarkt.com/israel-reyes/profil/spieler/687558,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Jesús Angulo,Mexico,DEF,Centre-Back,28,19,Tigres UANL,Liga MX Apertura,1,4500000,False,False,0,312568,https://www.transfermarkt.com/jesus-angulo/profil/spieler/312568,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Everardo López,Mexico,DEF,Centre-Back,21,3,Deportivo Toluca,Liga MX Apertura,1,1500000,False,False,0,955303,https://www.transfermarkt.com/everardo-lopez/profil/spieler/955303,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Jesús Gallardo,Mexico,DEF,Left-Back,31,119,Deportivo Toluca,Liga MX Apertura,1,3000000,False,False,23,344854,https://www.transfermarkt.com/jesus-gallardo/profil/spieler/344854,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Richard Ledezma,Mexico,DEF,Right-Back,25,3,Deportivo Guadalajara,Liga MX Apertura,1,5500000,False,False,0,575367,https://www.transfermarkt.com/richard-ledezma/profil/spieler/575367,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Jorge Sánchez,Mexico,DEF,Right-Back,28,56,PAOK Thessaloniki,Super League 1,1,2200000,False,False,0,356044,https://www.transfermarkt.com/jorge-sanchez/profil/spieler/356044,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Érik Lira,Mexico,MID,Defensive Midfield,25,22,CD Cruz Azul,Liga MX Apertura,1,12000000,False,False,6,602324,https://www.transfermarkt.com/erik-lira/profil/spieler/602324,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Carlos Rodríguez,Mexico,MID,Defensive Midfield,29,68,CD Cruz Azul,Liga MX Apertura,1,5500000,False,False,0,534620,https://www.transfermarkt.com/carlos-rodriguez/profil/spieler/534620,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Denzell García,Mexico,MID,Defensive Midfield,22,2,FC Juárez,Liga MX Apertura,1,4500000,False,False,0,997057,https://www.transfermarkt.com/denzell-garcia/profil/spieler/997057,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Álvaro Fidalgo,Mexico,MID,Central Midfield,29,2,Real Betis Balompié,LaLiga,1,10000000,False,False,19,261503,https://www.transfermarkt.com/alvaro-fidalgo/profil/spieler/261503,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Obed Vargas,Mexico,MID,Central Midfield,20,5,Atlético de Madrid,LaLiga,1,8000000,False,False,0,889435,https://www.transfermarkt.com/obed-vargas/profil/spieler/889435,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Orbelín Pineda,Mexico,MID,Central Midfield,30,90,AEK Athens,Super League 1,1,7000000,False,False,0,334042,https://www.transfermarkt.com/orbelin-pineda/profil/spieler/334042,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Érick Sánchez,Mexico,MID,Central Midfield,26,38,CF América,Liga MX Apertura,1,6000000,False,False,0,370875,https://www.transfermarkt.com/erick-sanchez/profil/spieler/370875,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Brian Gutiérrez,Mexico,MID,Attacking Midfield,22,5,Deportivo Guadalajara,Liga MX Apertura,1,5500000,False,False,0,724443,https://www.transfermarkt.com/brian-gutierrez/profil/spieler/724443,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Alexis Vega,Mexico,FWD,Left Winger,28,50,Deportivo Toluca,Liga MX Apertura,1,9000000,False,False,0,424689,https://www.transfermarkt.com/alexis-vega/profil/spieler/424689,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Roberto Alvarado,Mexico,FWD,Right Winger,27,66,Deportivo Guadalajara,Liga MX Apertura,1,6000000,False,False,25,353583,https://www.transfermarkt.com/roberto-alvarado/profil/spieler/353583,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Armando González,Mexico,FWD,Centre-Forward,23,6,Deportivo Guadalajara,Liga MX Apertura,1,15000000,False,False,0,837619,https://www.transfermarkt.com/armando-gonzalez/profil/spieler/837619,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Germán Berterame,Mexico,FWD,Centre-Forward,27,9,Inter Miami CF,MLS,1,12000000,False,False,0,401572,https://www.transfermarkt.com/german-berterame/profil/spieler/401572,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Julián Quiñones,Mexico,FWD,Centre-Forward,29,20,Al-Qadsiah FC,Saudi Pro League,1,12000000,False,False,0,416090,https://www.transfermarkt.com/julian-quinones/profil/spieler/416090,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Raúl Jiménez,Mexico,FWD,Centre-Forward,34,125,Fulham FC,Premier League,1,4000000,False,False,0,206040,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Guillermo Martínez,Mexico,FWD,Centre-Forward,31,9,UNAM Pumas,Liga MX Apertura,1,1800000,False,False,0,347932,https://www.transfermarkt.com/guillermo-martinez/profil/spieler/347932,https://www.transfermarkt.com/mexiko/kader/verein/6303,CONCACAF,15,169300000
Ronwen Williams,South Africa,GK,Goalkeeper,34,62,Mamelodi Sundowns FC,Betway Premiership,1,900000,False,False,0,175577,https://www.transfermarkt.com/ronwen-williams/profil/spieler/175577,https://www.transfermarkt.com/sudafrika/kader/verein/3806,CAF,60,41150000
Ricardo Goss,South Africa,GK,Goalkeeper,32,4,Siwelele Football Club ,Betway Premiership,1,350000,False,False,0,258304,https://www.transfermarkt.com/ricardo-goss/profil/spieler/258304,https://www.transfermarkt.com/sudafrika/kader/verein/3806,CAF,60,41150000
Renaldo Leaner,South Africa,GK,Goalkeeper,28,3,Sekhukhune United FC,Betway Premiership,1,250000,False,False,0,512979,https://www.transfermarkt.com/renaldo-leaner/profil/spieler/512979,https://www.transfermarkt.com/sudafrika/kader/verein/3806,CAF,60,41150000
